first else okay
first is_map_okay execution, success
parsemap verification okay
grid done
Linha 0, coluna 0, tamanho 1
Linha 0, coluna 1, tamanho 1
Linha 0, coluna 1, tamanho 2
Linha 0, coluna 1, tamanho 3
Linha 0, coluna 2, tamanho 1
Linha 0, coluna 2, tamanho 2
Linha 0, coluna 2, tamanho 3
Linha 0, coluna 2, tamanho 4
Linha 0, coluna 3, tamanho 1
Linha 0, coluna 3, tamanho 2
Linha 0, coluna 3, tamanho 3
Linha 0, coluna 4, tamanho 1
Linha 0, coluna 4, tamanho 2
Linha 0, coluna 5, tamanho 1
Linha 0, coluna 7, tamanho 1
Linha 0, coluna 7, tamanho 2
Linha 0, coluna 7, tamanho 3
Linha 0, coluna 8, tamanho 1
Linha 0, coluna 8, tamanho 2
Linha 0, coluna 9, tamanho 1
Linha 1, coluna 1, tamanho 1
Linha 1, coluna 1, tamanho 2
Linha 1, coluna 1, tamanho 3
Linha 1, coluna 2, tamanho 1
Linha 1, coluna 2, tamanho 2
Linha 1, coluna 3, tamanho 1
Linha 1, coluna 3, tamanho 2
Linha 1, coluna 3, tamanho 3
Linha 1, coluna 3, tamanho 4
Linha 1, coluna 4, tamanho 1
Linha 1, coluna 4, tamanho 2
Linha 1, coluna 5, tamanho 1
Linha 1, coluna 5, tamanho 2
Linha 1, coluna 5, tamanho 3
Linha 1, coluna 5, tamanho 4
Linha 1, coluna 5, tamanho 5
Linha 1, coluna 6, tamanho 1
Linha 1, coluna 6, tamanho 2
Linha 1, coluna 6, tamanho 3
Linha 1, coluna 6, tamanho 4
Linha 1, coluna 7, tamanho 1
Linha 1, coluna 7, tamanho 2
Linha 1, coluna 7, tamanho 3
Linha 1, coluna 8, tamanho 1
Linha 1, coluna 8, tamanho 2
Linha 1, coluna 9, tamanho 1
Linha 2, coluna 0, tamanho 1
Linha 2, coluna 0, tamanho 2
Linha 2, coluna 0, tamanho 3
Linha 2, coluna 0, tamanho 4
Linha 2, coluna 0, tamanho 5
Linha 2, coluna 0, tamanho 6
Linha 2, coluna 0, tamanho 7
Linha 2, coluna 0, tamanho 8
Linha 2, coluna 1, tamanho 1
Linha 2, coluna 1, tamanho 2
Linha 2, coluna 2, tamanho 1
Linha 2, coluna 2, tamanho 2
Linha 2, coluna 2, tamanho 3
Linha 2, coluna 2, tamanho 4
Linha 2, coluna 2, tamanho 5
Linha 2, coluna 2, tamanho 6
Linha 2, coluna 2, tamanho 7
Linha 2, coluna 2, tamanho 8
Linha 2, coluna 3, tamanho 1
Linha 2, coluna 4, tamanho 1
Linha 2, coluna 5, tamanho 1
Linha 2, coluna 5, tamanho 2
Linha 2, coluna 6, tamanho 1
Linha 2, coluna 6, tamanho 2
Linha 2, coluna 6, tamanho 3
Linha 2, coluna 6, tamanho 4
Linha 2, coluna 7, tamanho 1
Linha 2, coluna 7, tamanho 2
Linha 2, coluna 8, tamanho 1
Linha 2, coluna 8, tamanho 2
Linha 2, coluna 9, tamanho 1
Linha 3, coluna 0, tamanho 1
Linha 3, coluna 1, tamanho 1
Linha 3, coluna 2, tamanho 1
Linha 3, coluna 2, tamanho 2
Linha 3, coluna 3, tamanho 1
Linha 3, coluna 5, tamanho 1
Linha 3, coluna 5, tamanho 2
Linha 3, coluna 6, tamanho 1
Linha 3, coluna 7, tamanho 1
Linha 3, coluna 8, tamanho 1
Linha 3, coluna 8, tamanho 2
Linha 3, coluna 9, tamanho 1
Linha 4, coluna 0, tamanho 1
Linha 4, coluna 2, tamanho 1
Linha 4, coluna 2, tamanho 2
Linha 4, coluna 2, tamanho 3
Linha 4, coluna 2, tamanho 4
Linha 4, coluna 2, tamanho 5
Linha 4, coluna 3, tamanho 1
Linha 4, coluna 3, tamanho 2
Linha 4, coluna 4, tamanho 1
Linha 4, coluna 4, tamanho 2
Linha 4, coluna 4, tamanho 3
Linha 4, coluna 5, tamanho 1
Linha 4, coluna 5, tamanho 2
Linha 4, coluna 6, tamanho 1
Linha 4, coluna 8, tamanho 1
Linha 4, coluna 9, tamanho 1
Linha 5, coluna 0, tamanho 1
Linha 5, coluna 0, tamanho 2
Linha 5, coluna 0, tamanho 3
Linha 5, coluna 0, tamanho 4
Linha 5, coluna 0, tamanho 5
Linha 5, coluna 1, tamanho 1
Linha 5, coluna 1, tamanho 2
Linha 5, coluna 2, tamanho 1
Linha 5, coluna 3, tamanho 1
Linha 5, coluna 4, tamanho 1
Linha 5, coluna 4, tamanho 2
Linha 5, coluna 5, tamanho 1
Linha 5, coluna 5, tamanho 2
Linha 5, coluna 6, tamanho 1
Linha 5, coluna 9, tamanho 1
Linha 6, coluna 0, tamanho 1
Linha 6, coluna 0, tamanho 2
Linha 6, coluna 0, tamanho 3
Linha 6, coluna 1, tamanho 1
Linha 6, coluna 1, tamanho 2
Linha 6, coluna 2, tamanho 1
Linha 6, coluna 4, tamanho 1
Linha 6, coluna 4, tamanho 2
Linha 6, coluna 4, tamanho 3
Linha 6, coluna 4, tamanho 4
Linha 6, coluna 5, tamanho 1
Linha 6, coluna 6, tamanho 1
Linha 6, coluna 7, tamanho 1
Linha 6, coluna 7, tamanho 2
Linha 6, coluna 8, tamanho 1
Linha 7, coluna 0, tamanho 1
Linha 7, coluna 0, tamanho 2
Linha 7, coluna 0, tamanho 3
Linha 7, coluna 1, tamanho 1
Linha 7, coluna 1, tamanho 2
Linha 7, coluna 2, tamanho 1
Linha 7
